rank,url_domain,unique_users
1,youtube.com,183800000
2,gofundme.com,132000000
3,amazon.com,131700000
4,media1.tenor.co,124700000
5,twitter.com,118800000
6,unicef.org,111100000
7,linktr.ee,102900000
8,tiktok.com,99400000
9,abcnews.go.com,98200000
10,cdc.gov,97800000
11,playeralumniresources.com,97200000
12,open.spotify.com,91900000
13,dailymail.co.uk,89600000
14,nypost.com,86100000
15,ranker.com,85600000
16,nbcnews.com,83600000
17,eventbrite.com,83400000
18,cnn.com,82800000
19,paypal.com,81300000
20,etsy.com,80900000
